batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Visee,27,20,4,1,135.0,Hamza Tahir,4.0,30.0,4.0,0.0,0.0,7.5
MP O'Dowd,1,3,0,0,33.33333333333333,AC Evans,2.0,6.0,1.0,0.0,1.0,3.0
Vikramjit Singh,15,13,1,0,115.38461538461537,A Neill,4.0,38.0,1.0,0.0,3.0,9.5
BN Cooper,2,6,0,0,33.33333333333333,RD Berrington,3.0,17.0,1.0,0.0,2.0,5.666666666666667
PM Seelaar,4,7,0,0,57.14285714285714,MA Leask,0.0,5.0,0.0,0.0,0.0,inf
BFW de Leede,30,36,0,1,83.33333333333334,TB Sole,4.0,15.0,2.0,0.0,0.0,3.75
SA Edwards,10,11,1,0,90.9090909090909,CS MacLeod,3.0,9.0,0.0,0.0,0.0,3.0
C Floyd,21,18,2,1,116.66666666666667,,,,,,,
FJ Klaassen,0,1,0,0,0.0,,,,,,,
PA van Meekeren,3,4,0,0,75.0,,,,,,,
BD Glover,1,1,0,0,100.0,,,,,,,
