batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TH David,19,20,2,0,95.0,PA van Meekeren,4.0,20.0,2.0,0.0,2.0,5.0
S Chandramohan,28,27,2,1,103.7037037037037,CN Ackermann,4.0,17.0,0.0,0.0,1.0,4.25
Aritra Dutta,20,19,2,1,105.26315789473684,RE van der Merwe,4.0,22.0,3.0,0.0,1.0,5.5
Manpreet Singh,5,7,1,0,71.42857142857143,BD Glover,3.0,20.0,2.0,0.0,0.0,6.666666666666667
Janak Prakash,1,2,0,0,50.0,T van der Gugten,3.0,9.0,3.0,0.0,0.0,3.0
NMS Param,13,15,0,0,86.66666666666667,PM Seelaar,1.0,11.0,0.0,0.0,1.0,11.0
Sidhant Singh,2,8,0,0,25.0,,,,,,,
V Baskaran,4,8,0,0,50.0,,,,,,,
S Vijayakumar,1,4,0,0,25.0,,,,,,,
Amjad Mahboob,1,2,0,0,50.0,,,,,,,
AAhan Achar,0,1,0,0,0.0,,,,,,,
