batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SJ Myburgh,0,2,0,0,0.0,Mohammad Naveed,4.0,21.0,1.0,0.0,0.0,5.25
MP O'Dowd,4,6,0,0,66.66666666666666,Sultan Ahmed (2),2.0,22.0,1.0,0.0,5.0,11.0
BN Cooper,46,38,5,1,121.05263157894737,Rohan Mustafa,4.0,27.0,3.0,0.0,1.0,6.75
Saqib Zulfiqar,14,15,0,0,93.33333333333333,Ahmed Raza,4.0,27.0,0.0,0.0,0.0,6.75
PM Seelaar,34,29,1,0,117.24137931034481,Waheed Ahmed,2.0,16.0,0.0,0.0,0.0,8.0
Sikander Zulfiqar,17,18,0,0,94.44444444444444,Zahoor Khan,4.0,20.0,2.0,0.0,1.0,5.0
SA Edwards,5,5,0,0,100.0,,,,,,,
TS Braat,5,3,1,0,166.66666666666669,,,,,,,
BD Glover,1,1,0,0,100.0,,,,,,,
PRP Boissevain,0,2,0,0,0.0,,,,,,,
VJ Kingma,0,1,0,0,0.0,,,,,,,
