batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
H Masakadza,8,9,0,1,88.88888888888889,FJ Klaassen,4.0,28.0,0.0,0.0,1.0,7.0
BRM Taylor,40,24,8,0,166.66666666666669,RE van der Merwe,4.0,35.0,4.0,0.0,0.0,8.75
CR Ervine,29,27,2,1,107.40740740740742,BD Glover,4.0,23.0,1.0,0.0,1.0,5.75
SC Williams,2,3,0,0,66.66666666666666,PA van Meekeren,4.0,25.0,3.0,0.0,1.0,6.25
Sikandar Raza,7,11,0,0,63.63636363636363,PM Seelaar,3.0,28.0,1.0,0.0,1.0,9.333333333333334
PJ Moor,7,10,0,0,70.0,W Barresi,1.0,11.0,0.0,0.0,0.0,11.0
E Chigumbura,29,18,0,3,161.11111111111111,,,,,,,
RP Burl,23,14,2,1,164.28571428571428,,,,,,,
KM Jarvis,1,2,0,0,50.0,,,,,,,
CB Mpofu,0,1,0,0,0.0,,,,,,,
TL Chatara,0,1,0,0,0.0,,,,,,,
