batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Guptill,27,14,1,3,192.85714285714286,SM Curran,4.0,36.0,1.0,0.0,2.0,9.0
C Munro,30,21,3,0,142.85714285714286,TK Curran,3.0,26.0,1.0,0.0,0.0,8.666666666666666
TL Seifert,3,4,0,0,75.0,CJ Jordan,3.0,24.0,2.0,0.0,1.0,8.0
C de Grandhomme,7,3,0,1,233.33333333333334,MW Parkinson,4.0,47.0,4.0,0.0,0.0,11.75
LRPL Taylor,14,10,0,1,140.0,PR Brown,3.0,29.0,1.0,0.0,5.0,9.666666666666666
DJ Mitchell,2,5,0,0,40.0,,,,,,,
MJ Santner,10,8,1,0,125.0,,,,,,,
TG Southee,39,15,2,4,260.0,,,,,,,
IS Sodhi,9,7,0,1,128.57142857142858,,,,,,,
TA Boult,8,8,1,0,100.0,,,,,,,
BM Tickner,5,6,0,0,83.33333333333334,,,,,,,
