batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
N Dickwella,18,10,1,1,180.0,LH Ferguson,3.0,21.0,3.0,0.0,1.0,7.0
S Samarawickrama,0,1,0,0,0.0,TG Southee,2.0,21.0,1.0,0.0,1.0,10.5
MDKJ Perera,23,12,3,1,191.66666666666669,SC Kuggeleijn,3.0,26.0,1.0,0.0,5.0,8.666666666666666
BKG Mendis,17,19,0,0,89.47368421052632,DAJ Bracewell,2.0,19.0,1.0,0.0,0.0,9.5
NLTC Perera,43,24,2,3,179.16666666666669,MJ Santner,3.0,27.0,1.0,0.0,1.0,9.0
DM de Silva,10,12,1,0,83.33333333333334,IS Sodhi,4.0,30.0,3.0,0.0,2.0,7.5
MD Shanaka,7,5,1,0,140.0,,,,,,,
CAK Rajitha,5,9,0,0,55.55555555555556,,,,,,,
SL Malinga,6,5,1,0,120.0,,,,,,,
CBRLS Kumara,4,2,1,0,200.0,,,,,,,
PADLR Sandakan,1,2,0,0,50.0,,,,,,,
