batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
D Ajekun,16,21,2,0,76.19047619047619,Bilal Khan,4.0,7.0,3.0,0.0,1.0,1.75
AM Oyede,1,9,0,0,11.11111111111111,Kaleemullah,2.0,13.0,0.0,0.0,0.0,6.5
Sulaimon Runsewe,14,19,1,0,73.68421052631578,Mohammad Nadeem,2.0,10.0,0.0,0.0,2.0,5.0
AA Onikoyi,10,24,0,0,41.66666666666667,Aamir Kaleem,4.0,14.0,4.0,0.0,0.0,3.5
CN Onwuzulike,0,1,0,0,0.0,Khawar Ali,4.0,12.0,1.0,0.0,0.0,3.0
IO Okpe,12,22,0,0,54.54545454545454,Zeeshan Maqsood,4.0,14.0,0.0,0.0,0.0,3.5
D Gim,0,1,0,0,0.0,,,,,,,
JO Adedeji,8,10,0,0,80.0,,,,,,,
SA Okpe,4,8,0,0,50.0,,,,,,,
CM Akachukwu,2,4,0,0,50.0,,,,,,,
