batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
EJ Pollock,0,1,0,0,0.0,BW Sanderson,3.0,17.0,2.0,0.0,0.0,5.666666666666667
MGK Burgess,18,13,1,1,138.46153846153845,Faheem Ashraf,4.0,26.0,2.0,0.0,0.0,6.5
SR Hain,29,23,4,0,126.08695652173914,MT Coles,1.0,13.0,0.0,0.0,0.0,13.0
AJ Hose,27,31,2,1,87.09677419354838,NL Buck,3.0,21.0,1.0,2.0,0.0,6.333333333333333
AC Agar,17,10,1,1,170.0,D Pretorius,3.0,16.0,1.0,0.0,2.0,5.333333333333333
WMH Rhodes,7,12,0,0,58.333333333333336,GG White,2.0,13.0,1.0,0.0,0.0,6.5
L Banks,3,3,0,0,100.0,,,,,,,
HJH Brookes,0,1,0,0,0.0,,,,,,,
JS Patel,1,1,0,0,100.0,,,,,,,
JC Wainman,0,2,0,0,0.0,,,,,,,
