batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
S Steel,13,5,3,0,260.0,JJ Cobb,4.0,12.0,0.0,0.0,0.0,3.0
DJM Short,13,22,2,0,59.09090909090909,BW Sanderson,4.0,29.0,2.0,0.0,1.0,7.25
G Clark,0,2,0,0,0.0,Faheem Ashraf,4.0,26.0,2.0,0.0,0.0,6.5
PSP Handscomb,65,54,5,0,120.37037037037037,GG White,4.0,27.0,1.0,0.0,0.0,6.75
AZ Lees,4,8,0,0,50.0,RI Keogh,4.0,30.0,3.0,0.0,0.0,7.5
L Trevaskis,4,5,0,0,80.0,,,,,,,
SW Poynter,2,3,0,0,66.66666666666666,,,,,,,
JTA Burnham,7,7,0,0,100.0,,,,,,,
BA Carse,14,12,1,0,116.66666666666667,,,,,,,
MJ Potts,1,2,0,0,50.0,,,,,,,
