batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CO Thurston,8,10,1,0,80.0,M Carter,3.0,26.0,1.0,0.0,0.0,8.666666666666666
AM Rossington,1,3,0,0,33.33333333333333,L Wood,3.0,22.0,0.0,0.0,0.0,7.333333333333333
JJ Cobb,36,28,2,2,128.57142857142858,SR Patel,3.0,21.0,0.0,0.0,0.0,7.0
AG Wakely,13,13,1,0,100.0,HF Gurney,4.0,30.0,2.0,2.0,0.0,7.0
D Pretorius,34,27,2,1,125.92592592592592,JT Ball,3.0,21.0,2.0,0.0,0.0,7.0
RI Keogh,1,4,0,0,25.0,DT Christian,4.0,32.0,3.0,0.0,0.0,8.0
MT Coles,1,2,0,0,50.0,,,,,,,
Faheem Ashraf,24,14,3,1,171.42857142857142,,,,,,,
GG White,27,15,2,2,180.0,,,,,,,
NL Buck,5,5,0,0,100.0,,,,,,,
