batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JM Clarke,5,9,1,0,55.55555555555556,DY Pennington,3.0,19.0,1.0,0.0,0.0,6.333333333333333
AD Hales,52,34,3,3,152.94117647058823,WD Parnell,4.0,26.0,1.0,0.0,0.0,6.5
BM Duckett,2,5,0,0,40.0,PR Brown,4.0,24.0,2.0,2.0,2.0,5.5
JD Libby,24,28,1,0,85.71428571428571,EG Barnard,3.0,24.0,1.0,0.0,0.0,8.0
TJ Moores,11,9,1,0,122.22222222222223,BL D'Oliveira,2.0,22.0,0.0,0.0,1.0,11.0
DT Christian,0,1,0,0,0.0,MM Ali,4.0,18.0,4.0,0.0,0.0,4.5
SR Patel,6,8,1,0,75.0,,,,,,,
L Wood,7,9,0,0,77.77777777777779,,,,,,,
M Carter,14,10,2,0,140.0,,,,,,,
JT Ball,2,6,0,0,33.33333333333333,,,,,,,
HF Gurney,5,2,1,0,250.0,,,,,,,
