batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
HD Rutherford,5,7,0,0,71.42857142857143,L Wood,4.0,33.0,0.0,2.0,1.0,7.75
MH Wessels,34,38,3,0,89.47368421052632,M Carter,4.0,32.0,3.0,0.0,2.0,8.0
MM Ali,21,9,0,3,233.33333333333334,HF Gurney,4.0,27.0,2.0,0.0,4.0,6.75
WD Parnell,15,14,0,1,107.14285714285714,SR Patel,3.0,17.0,0.0,0.0,0.0,5.666666666666667
OB Cox,1,2,0,0,50.0,SJ Mullaney,4.0,32.0,2.0,0.0,0.0,8.0
BL D'Oliveira,7,8,0,0,87.5,DT Christian,1.0,4.0,1.0,0.0,0.0,4.0
RA Whiteley,36,24,1,3,150.0,,,,,,,
EG Barnard,4,6,0,0,66.66666666666666,,,,,,,
DKH Mitchell,13,12,0,1,108.33333333333333,,,,,,,
PR Brown,0,1,0,0,0.0,,,,,,,
