batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,4,6,0,0,66.66666666666666,Bilal Khan,3.0,15.0,2.0,0.0,0.0,5.0
KJ O'Brien,39,16,2,4,243.75,Fayyaz Butt,2.0,29.0,0.0,1.0,1.0,14.0
A Balbirnie,19,13,4,0,146.15384615384613,Aamir Kaleem,2.0,21.0,2.0,0.0,0.0,10.5
GJ Delany,11,11,0,0,100.0,Zeeshan Maqsood,2.0,23.0,0.0,0.0,0.0,11.5
HT Tector,12,7,2,0,171.42857142857142,Mohammad Nadeem,4.0,14.0,3.0,0.0,0.0,3.5
GC Wilson,5,7,0,0,71.42857142857143,Khawar Ali,4.0,28.0,3.0,0.0,1.0,7.0
SC Getkate,4,5,0,0,80.0,,,,,,,
SR Thompson,10,9,1,0,111.11111111111111,,,,,,,
MR Adair,18,19,0,0,94.73684210526315,,,,,,,
GH Dockrell,5,6,0,0,83.33333333333334,,,,,,,
