batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Khawar Ali,0,3,0,0,0.0,MR Adair,4.0,28.0,2.0,0.0,2.0,7.0
Jatinder Singh,40,39,2,1,102.56410256410255,SR Thompson,4.0,21.0,2.0,0.0,0.0,5.25
Aqib Ilyas,21,18,3,1,116.66666666666667,CA Young,4.0,43.0,1.0,0.0,2.0,10.75
Zeeshan Maqsood,7,10,1,0,70.0,GJ Delany,3.0,27.0,1.0,0.0,1.0,9.0
Aamir Kaleem,46,27,2,3,170.37037037037038,SC Getkate,3.0,23.0,1.0,0.0,0.0,7.666666666666667
Khurram Nawaz,9,7,0,1,128.57142857142858,GH Dockrell,2.0,19.0,0.0,0.0,0.0,9.5
Suraj Kumar,6,4,1,0,150.0,,,,,,,
Sandeep Goud,12,6,0,1,200.0,,,,,,,
Mohammad Nadeem,1,2,0,0,50.0,,,,,,,
Fayyaz Butt,14,4,0,2,350.0,,,,,,,
