batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Visee,11,10,2,0,110.00000000000001,Bilal Khan,2.0,14.0,0.0,0.0,0.0,7.0
MP O'Dowd,24,18,3,1,133.33333333333331,Aamir Kaleem,2.0,17.0,1.0,0.0,0.0,8.5
AJ Staal,19,18,1,1,105.55555555555556,Fayyaz Butt,3.0,28.0,0.0,0.0,1.0,9.333333333333334
CN Ackermann,15,10,2,0,150.0,Mohammad Nadeem,2.0,12.0,1.0,0.0,1.0,6.0
RE van der Merwe,0,1,0,0,0.0,Khawar Ali,4.0,16.0,4.0,0.0,0.0,4.0
SA Edwards,13,10,1,0,130.0,Zeeshan Maqsood,3.0,7.0,4.0,0.0,0.0,2.3333333333333335
PM Seelaar,2,5,0,0,40.0,,,,,,,
S Snater,0,1,0,0,0.0,,,,,,,
FJ Klaassen,5,7,0,0,71.42857142857143,,,,,,,
PA van Meekeren,3,7,0,0,42.857142857142854,,,,,,,
BD Glover,0,6,0,0,0.0,,,,,,,
