batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Naseem Khushi,0,6,0,0,0.0,AC Evans,4.0,10.0,2.0,1.0,2.0,2.25
Jatinder Singh,2,8,0,0,25.0,SM Sharif,4.0,29.0,0.0,1.0,0.0,7.0
Wasim Ali,1,4,0,0,25.0,A Neill,4.0,21.0,3.0,0.0,2.0,5.25
Khurram Nawaz,8,10,1,0,80.0,RD Berrington,4.0,30.0,0.0,0.0,3.0,7.5
Mohammad Nadeem,29,38,2,0,76.31578947368422,MRJ Watt,4.0,20.0,3.0,0.0,0.0,5.0
AV Lalcheta,13,14,0,1,92.85714285714286,,,,,,,
Sufyan Mehmood,6,9,0,0,66.66666666666666,,,,,,,
Sandeep Goud,31,19,2,2,163.1578947368421,,,,,,,
Mehran Khan,8,5,0,1,160.0,,,,,,,
Fayyaz Butt,3,6,0,0,50.0,,,,,,,
