batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Babar Azam,13,10,2,0,130.0,CAK Rajitha,4.0,20.0,1.0,0.0,0.0,5.0
Ahmed Shehzad,4,9,0,0,44.44444444444444,N Pradeep,3.0,21.0,3.0,0.0,1.0,7.0
Umar Akmal,0,1,0,0,0.0,I Udana,3.0,11.0,3.0,0.0,0.0,3.6666666666666665
Sarfraz Ahmed,24,30,1,0,80.0,PWH de Silva,4.0,20.0,2.0,0.0,0.0,5.0
Iftikhar Ahmed,25,24,2,0,104.16666666666667,PADLR Sandakan,4.0,24.0,0.0,0.0,1.0,6.0
Asif Ali,6,10,0,0,60.0,,,,,,,
Imad Wasim,7,5,1,0,140.0,,,,,,,
Faheem Ashraf,8,8,1,0,100.0,,,,,,,
Shadab Khan,6,7,1,0,85.71428571428571,,,,,,,
Mohammad Amir,1,2,0,0,50.0,,,,,,,
