batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JH Kiani,13,17,1,0,76.47058823529412,N Vanua,2.0,7.0,0.0,0.0,0.0,3.5
R Goodwin,5,13,0,0,38.46153846153847,D Ravu,2.0,11.0,0.0,1.0,0.0,5.0
Karweng NG,5,11,0,0,45.45454545454545,CA Soper,2.0,6.0,2.0,0.0,1.0,3.0
J Hill,6,14,1,0,42.857142857142854,J Kila,4.0,11.0,1.0,0.0,0.0,2.75
HER Tyler,6,9,0,0,66.66666666666666,CJA Amini,4.0,13.0,1.0,0.0,2.0,3.25
MP Biddappa,13,25,0,0,52.0,JB Reva,2.0,5.0,1.0,0.0,0.0,2.5
Kuldeep Singh,6,12,0,0,50.0,L Siaka,4.0,18.0,2.0,0.0,2.0,4.5
DC Smith,3,10,0,0,30.0,,,,,,,
GR Russ,7,9,0,0,77.77777777777779,,,,,,,
R Mahajan,1,1,0,0,100.0,,,,,,,
