batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
A Vala,20,16,1,2,125.0,MRJ Watt,4.0,23.0,2.0,0.0,0.0,5.75
TP Ura,17,27,2,0,62.96296296296296,SM Sharif,4.0,32.0,2.0,0.0,3.0,8.0
L Siaka,31,24,4,0,129.16666666666669,JH Davey,4.0,23.0,2.0,0.0,0.0,5.75
CJA Amini,9,8,1,0,112.5,Hamza Tahir,4.0,24.0,3.0,0.0,0.0,6.0
R Hekure,2,4,0,0,50.0,TB Sole,3.0,25.0,0.0,0.0,0.0,8.333333333333334
S Bau,4,7,0,0,57.14285714285714,RD Berrington,1.0,12.0,0.0,0.0,0.0,12.0
N Vanua,33,18,2,2,183.33333333333331,,,,,,,
K Doriga,6,6,0,0,100.0,,,,,,,
J Kila,10,6,2,0,166.66666666666669,,,,,,,
D Ravu,3,3,0,0,100.0,,,,,,,
N Pokana,1,1,0,0,100.0,,,,,,,
