batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
R Gaznavi,8,9,1,0,88.88888888888889,N Pokana,4.0,27.0,1.0,0.0,1.0,6.75
S Chandramohan,0,0,0,0,,J Kila,2.0,16.0,0.0,0.0,2.0,8.0
R Rohan,27,26,4,0,103.84615384615385,D Ravu,4.0,18.0,4.0,0.0,1.0,4.5
Aritra Dutta,11,16,0,0,68.75,N Vanua,4.0,29.0,1.0,0.0,1.0,7.25
TH David,44,26,2,3,169.23076923076923,R Hekure,1.0,12.0,0.0,0.0,0.0,12.0
Manpreet Singh,1,4,0,0,25.0,CJA Amini,2.0,15.0,1.0,0.0,0.0,7.5
NMS Param,11,13,1,0,84.61538461538461,A Vala,3.0,16.0,1.0,0.0,0.0,5.333333333333333
Janak Prakash,0,2,0,0,0.0,,,,,,,
V Baskaran,14,13,0,0,107.6923076923077,,,,,,,
Amjad Mahboob,1,3,0,0,33.33333333333333,,,,,,,
Avi Dixit,12,8,0,1,150.0,,,,,,,
