batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CT Bancroft,1,7,0,0,14.285714285714285,KW Richardson,3.0,6.0,1.0,0.0,0.0,2.0
SE Marsh,0,3,0,0,0.0,CP Tremain,4.0,9.0,3.0,0.0,1.0,2.25
MR Marsh,5,14,1,0,35.714285714285715,HF Gurney,2.0,14.0,0.0,0.0,0.0,7.0
AJ Turner,1,5,0,0,20.0,Mohammad Nabi,1.0,12.0,0.0,0.0,0.0,12.0
HWR Cartwright,14,18,1,0,77.77777777777779,DT Christian,3.0,20.0,4.0,0.0,2.0,6.666666666666667
NR Hobson,19,18,1,1,105.55555555555556,CJ Boyce,3.0,16.0,2.0,0.0,0.0,5.333333333333333
NM Coulter-Nile,8,5,1,0,160.0,,,,,,,
AJ Tye,0,2,0,0,0.0,,,,,,,
M Kelly,18,10,1,1,180.0,,,,,,,
JP Behrendorff,3,5,0,0,60.0,,,,,,,
Usman Qadir,5,9,0,0,55.55555555555556,,,,,,,
