batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
LS Livingstone,2,6,0,0,33.33333333333333,BJ Dwarshuis,3.0,17.0,2.0,0.0,1.0,5.666666666666667
JP Inglis,7,10,1,0,70.0,JM Bird,4.0,33.0,3.0,0.0,2.0,8.25
CT Bancroft,1,5,0,0,20.0,TK Curran,3.0,27.0,1.0,0.0,5.0,9.0
MR Marsh,17,13,2,1,130.76923076923077,SA Abbott,4.0,30.0,3.0,0.0,6.0,7.5
C Green,1,2,0,0,50.0,L Pope,4.0,15.0,1.0,0.0,0.0,3.75
AJ Turner,28,20,3,1,140.0,,,,,,,
AC Agar,8,16,0,0,50.0,,,,,,,
CJ Jordan,6,6,1,0,100.0,,,,,,,
JA Richardson,14,15,0,1,93.33333333333333,,,,,,,
M Kelly,23,14,1,2,164.28571428571428,,,,,,,
Fawad Ahmed,1,2,0,0,50.0,,,,,,,
