batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AM Rahane,27,20,4,0,135.0,SM Curran,4.0,52.0,2.0,0.0,1.0,13.0
JC Buttler,69,43,10,2,160.46511627906978,Mujeeb Ur Rahman,4.0,31.0,2.0,0.0,1.0,7.75
SV Samson,30,25,0,1,120.0,Mohammed Shami,4.0,33.0,0.0,0.0,0.0,8.25
SPD Smith,20,16,1,1,125.0,R Ashwin,4.0,20.0,1.0,0.0,0.0,5.0
RA Tripathi,1,4,0,0,25.0,AS Rajpoot,4.0,33.0,2.0,2.0,0.0,7.75
BA Stokes,6,2,0,1,300.0,,,,,,,
K Gowtham,3,4,0,0,75.0,,,,,,,
JC Archer,2,2,0,0,100.0,,,,,,,
JD Unadkat,1,2,0,0,50.0,,,,,,,
S Gopal,1,1,0,0,100.0,,,,,,,
DS Kulkarni,5,3,1,0,166.66666666666669,,,,,,,
