batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PA Patel,9,9,1,0,100.0,I Sharma,4.0,31.0,0.0,0.0,1.0,7.75
V Kohli,41,33,1,2,124.24242424242425,CH Morris,4.0,28.0,2.0,1.0,1.0,6.75
AB de Villiers,17,16,1,1,106.25,K Rabada,4.0,21.0,4.0,0.0,1.0,5.25
MP Stoinis,15,17,0,1,88.23529411764706,AR Patel,4.0,22.0,1.0,0.0,0.0,5.5
MM Ali,32,18,1,3,177.77777777777777,S Lamichhane,4.0,46.0,1.0,0.0,0.0,11.5
AD Nath,19,12,4,0,158.33333333333331,,,,,,,
TG Southee,9,9,0,0,100.0,,,,,,,
P Negi,0,1,0,0,0.0,,,,,,,
Mohammed Siraj,1,5,0,0,20.0,,,,,,,
YS Chahal,1,1,0,0,100.0,,,,,,,
