batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Virandeep Singh,17,24,1,0,70.83333333333334,V Baskaran,4.0,22.0,1.0,0.0,1.0,5.5
Anwar Arudin,1,6,0,0,16.666666666666664,Amjad Mahboob,4.0,20.0,3.0,0.0,1.0,5.0
Syed Aziz,0,3,0,0,0.0,S Vijayakumar,4.0,11.0,2.0,0.0,0.0,2.75
Shafiq Sharif,12,14,2,0,85.71428571428571,Janak Prakash,3.0,12.0,1.0,0.0,2.0,4.0
Ahmed Faiz Mohammad Noor,7,13,0,0,53.84615384615385,A Krishna,4.0,27.0,3.0,0.0,0.0,6.75
M Syahadat Ramli,22,20,0,2,110.00000000000001,,,,,,,
Aminuddin Ramly,12,11,0,1,109.09090909090908,,,,,,,
S Muniandy,3,5,0,0,60.0,,,,,,,
Fitri Sham,3,6,0,0,50.0,,,,,,,
NCK Liyanage,8,7,1,0,114.28571428571428,,,,,,,
Anwar Rahman,3,3,0,0,100.0,,,,,,,
