batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
P Khadka,12,10,0,1,120.0,V Baskaran,4.0,22.0,2.0,0.0,1.0,5.5
G Malla,39,21,4,3,185.71428571428572,Janak Prakash,2.0,21.0,1.0,0.0,1.0,10.5
S Vesawkar,7,11,1,0,63.63636363636363,Amjad Mahboob,2.0,22.0,1.0,0.0,0.0,11.0
DS Airee,23,22,1,1,104.54545454545455,S Vijayakumar,4.0,25.0,4.0,0.0,0.0,6.25
RK Paudel,5,4,1,0,125.0,A Krishna,3.0,19.0,1.0,0.0,0.0,6.333333333333333
B Bhandari,9,7,1,0,128.57142857142858,,,,,,,
Karan KC,0,2,0,0,0.0,,,,,,,
Sompal Kami,11,8,1,0,137.5,,,,,,,
S Lamichhane,0,1,0,0,0.0,,,,,,,
B Regmi,1,2,0,0,50.0,,,,,,,
A Bohara,0,2,0,0,0.0,,,,,,,
