batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Inam-ul-Haq,11,9,1,0,122.22222222222223,V Baskaran,3.0,19.0,1.0,0.0,0.0,6.333333333333333
Faisal Javed,29,14,5,1,207.14285714285717,Janak Prakash,4.0,15.0,3.0,0.0,1.0,3.75
Kamran Khan (2),5,9,1,0,55.55555555555556,Amjad Mahboob,4.0,38.0,3.0,0.0,2.0,9.5
Muhammad Tanveer,26,14,1,3,185.71428571428572,S Vijayakumar,3.0,20.0,1.0,0.0,0.0,6.666666666666667
Tamoor Sajjad,34,29,2,2,117.24137931034481,A Krishna,3.0,40.0,0.0,0.0,0.0,13.333333333333334
Nouman Sarwar,0,1,0,0,0.0,CR Suryawanshi,2.0,13.0,1.0,0.0,1.0,6.5
Mohammad Rizlan,33,33,3,1,100.0,R Rohan,1.0,7.0,0.0,0.0,1.0,7.0
Zaheer Ibrahim,6,5,1,0,120.0,,,,,,,
Mohammed Awais,0,1,0,0,0.0,,,,,,,
Iqbal Hussain,3,5,0,0,60.0,,,,,,,
