batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
R Rohan,39,22,8,0,177.27272727272728,WP Masakadza,2.0,20.0,0.0,0.0,0.0,10.0
S Chandramohan,23,17,3,0,135.29411764705884,R Ngarava,4.0,48.0,2.0,0.0,3.0,12.0
TH David,41,24,2,4,170.83333333333331,N Madziva,3.0,32.0,1.0,0.0,1.0,10.666666666666666
Aritra Dutta,7,7,1,0,100.0,SC Williams,4.0,34.0,1.0,0.0,1.0,8.5
Manpreet Singh,41,23,4,1,178.26086956521738,RP Burl,3.0,24.0,3.0,0.0,0.0,8.0
Janak Prakash,10,6,1,0,166.66666666666669,CT Mutombodzi,2.0,20.0,0.0,0.0,0.0,10.0
Sidhant Singh,9,5,1,0,180.0,,,,,,,
S Vijayakumar,1,1,0,0,100.0,,,,,,,
Amjad Mahboob,0,1,0,0,0.0,,,,,,,
V Baskaran,0,1,0,0,0.0,,,,,,,
AAhan Achar,2,1,0,0,200.0,,,,,,,
