batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJ Bell-Drummond,36,26,1,2,138.46153846153845,MTC Waller,4.0,27.0,2.0,0.0,0.0,6.75
Z Crawley,35,24,4,1,145.83333333333331,JE Taylor,4.0,27.0,2.0,0.0,0.0,6.75
HG Kuhn,20,18,1,1,111.11111111111111,C Overton,4.0,32.0,3.0,0.0,0.0,8.0
SW Billings,7,9,0,0,77.77777777777779,TD Groenewald,3.0,25.0,0.0,0.0,0.0,8.333333333333334
Mohammad Nabi,0,1,0,0,0.0,RE van der Merwe,3.0,27.0,0.0,0.0,0.0,9.0
AJ Blake,9,6,0,1,150.0,TA Lammonby,1.0,10.0,1.0,0.0,0.0,10.0
OG Robinson,17,11,1,1,154.54545454545453,,,,,,,
AF Milne,15,10,1,1,150.0,,,,,,,
GC Viljoen,4,4,0,0,100.0,,,,,,,
FJ Klaassen,1,1,0,0,100.0,,,,,,,
ME Claydon,4,2,0,0,200.0,,,,,,,
