batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PD Salt,4,2,0,0,200.0,MTC Waller,4.0,27.0,1.0,0.0,0.0,6.75
LJ Wright,20,19,3,0,105.26315789473684,RE van der Merwe,3.0,40.0,0.0,0.0,0.0,13.333333333333334
LJ Evans,33,27,2,1,122.22222222222223,JE Taylor,4.0,31.0,1.0,4.0,0.0,6.75
AT Carey,78,46,7,4,169.56521739130434,L Gregory,4.0,30.0,3.0,2.0,1.0,7.0
D Wiese,26,17,2,1,152.94117647058823,C Overton,3.0,40.0,0.0,0.0,0.0,13.333333333333334
DMW Rawlins,2,2,0,0,100.0,TA Lammonby,2.0,14.0,1.0,0.0,1.0,7.0
OE Robinson,2,4,0,0,50.0,,,,,,,
Rashid Khan,7,4,0,1,175.0,,,,,,,
DR Briggs,0,1,0,0,0.0,,,,,,,
RJW Topley,2,1,0,0,200.0,,,,,,,
