batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Fakhar Zaman,4,3,0,0,133.33333333333331,BE Hendricks,4.0,40.0,2.0,0.0,3.0,10.0
Babar Azam,38,27,3,1,140.74074074074073,CJ Dala,4.0,44.0,0.0,0.0,2.0,11.0
Hussain Talat,40,32,5,0,125.0,CH Morris,4.0,39.0,2.0,0.0,2.0,9.75
Shoaib Malik,49,31,5,1,158.06451612903226,AL Phehlukwayo,4.0,27.0,1.0,0.0,0.0,6.75
Asif Ali,13,7,1,1,185.71428571428572,T Shamsi,4.0,33.0,2.0,0.0,0.0,8.25
Imad Wasim,4,2,1,0,200.0,,,,,,,
Faheem Ashraf,8,7,0,1,114.28571428571428,,,,,,,
Mohammad Rizwan,2,2,0,0,100.0,,,,,,,
Hasan Ali,11,5,0,1,220.00000000000003,,,,,,,
Shadab Khan,7,4,1,0,175.0,,,,,,,
