batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Babar Azam,23,11,5,0,209.0909090909091,BE Hendricks,4.0,14.0,4.0,0.0,0.0,3.5
Fakhar Zaman,17,17,2,1,100.0,CJ Dala,2.0,27.0,0.0,0.0,1.0,13.5
Mohammad Rizwan,26,22,3,0,118.18181818181819,CH Morris,4.0,27.0,2.0,0.0,0.0,6.75
Shoaib Malik,18,16,2,0,112.5,L Sipamla,2.0,25.0,1.0,0.0,1.0,12.5
Hussain Talat,3,4,0,0,75.0,AL Phehlukwayo,4.0,41.0,1.0,0.0,5.0,10.25
Asif Ali,25,20,0,2,125.0,T Shamsi,4.0,30.0,0.0,0.0,0.0,7.5
Imad Wasim,19,13,3,0,146.15384615384613,,,,,,,
Faheem Ashraf,4,6,0,0,66.66666666666666,,,,,,,
Shadab Khan,22,8,0,3,275.0,,,,,,,
Mohammad Amir,0,1,0,0,0.0,,,,,,,
Shaheen Shah Afridi,0,2,0,0,0.0,,,,,,,
