batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Q de Kock,13,17,2,0,76.47058823529412,SL Malinga,4.0,11.0,2.0,0.0,0.0,2.75
RR Hendricks,8,8,1,0,100.0,DM de Silva,4.0,28.0,1.0,0.0,0.0,7.0
F du Plessis,21,23,2,1,91.30434782608695,A Dananjaya,4.0,28.0,1.0,0.0,0.0,7.0
HE van der Dussen,34,30,1,1,113.33333333333333,JDF Vandersay,4.0,25.0,1.0,0.0,1.0,6.25
DA Miller,41,23,5,1,178.26086956521738,PHKD Mendis,1.0,9.0,0.0,0.0,0.0,9.0
AL Phehlukwayo,4,4,1,0,100.0,I Udana,3.0,32.0,0.0,0.0,0.0,10.666666666666666
JP Duminy,9,7,1,0,128.57142857142858,,,,,,,
K Rabada,0,4,0,0,0.0,,,,,,,
DW Steyn,1,3,0,0,33.33333333333333,,,,,,,
Imran Tahir,1,1,0,0,100.0,,,,,,,
