batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
BA Pai,14,20,1,0,70.0,Atif Mehmood,1.0,11.0,0.0,0.0,6.0,11.0
E Packard,5,4,1,0,125.0,Raja Adeel,4.0,15.0,2.0,1.0,3.0,3.5
CJ Delany,0,4,0,0,0.0,R Panchal,2.0,10.0,1.0,0.0,1.0,5.0
MG Hunter,27,33,1,1,81.81818181818183,Farzan Afzal,4.0,14.0,0.0,0.0,1.0,3.5
JD Freyone,4,16,0,0,25.0,J Perman,4.0,18.0,2.0,0.0,3.0,4.5
K Nestor,3,10,0,0,30.0,Yasir Ali,3.0,11.0,2.0,0.0,0.0,3.6666666666666665
LA Collado,8,16,0,0,50.0,TC Vine,1.0,11.0,0.0,0.0,0.0,11.0
N Advani,2,4,0,0,50.0,Tauqeer Hussain,1.0,0.0,1.0,0.0,0.0,0.0
JA Fitzgerald,11,6,0,1,183.33333333333331,,,,,,,
MD Garratt,1,5,0,0,20.0,,,,,,,
A Orfila,0,2,0,0,0.0,,,,,,,
