batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MD Gunathilaka,30,25,4,0,120.0,TG Southee,4.0,16.0,0.0,0.0,2.0,4.0
MDKJ Perera,3,12,0,0,25.0,SHA Rance,3.0,29.0,0.0,0.0,0.0,9.666666666666666
WIA Fernando,6,12,1,0,50.0,MJ Santner,4.0,12.0,3.0,0.0,0.0,3.0
N Dickwella,24,15,3,0,160.0,SC Kuggeleijn,4.0,21.0,1.0,0.0,1.0,5.25
LD Madushanka,20,23,1,0,86.95652173913044,TD Astle,4.0,28.0,3.0,0.0,0.0,7.0
MD Shanaka,7,6,1,0,116.66666666666667,C de Grandhomme,1.0,10.0,0.0,0.0,1.0,10.0
PWH de Silva,14,10,0,0,140.0,,,,,,,
I Udana,2,4,0,0,50.0,,,,,,,
A Dananjaya,0,2,0,0,0.0,,,,,,,
SL Malinga,6,11,0,0,54.54545454545454,,,,,,,
