batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
C Munro,12,12,1,1,100.0,SL Malinga,4.0,6.0,5.0,0.0,1.0,1.5
TL Seifert,8,13,1,0,61.53846153846154,A Dananjaya,4.0,28.0,2.0,0.0,1.0,7.0
HD Rutherford,0,1,0,0,0.0,PADLR Sandakan,4.0,33.0,1.0,0.0,3.0,8.25
C de Grandhomme,0,1,0,0,0.0,MD Gunathilaka,1.0,7.0,0.0,0.0,0.0,7.0
LRPL Taylor,0,1,0,0,0.0,PWH de Silva,3.0,12.0,1.0,0.0,0.0,4.0
MJ Santner,16,15,1,0,106.66666666666667,,,,,,,
DJ Mitchell,6,7,0,0,85.71428571428571,,,,,,,
SC Kuggeleijn,0,1,0,0,0.0,,,,,,,
TG Southee,28,23,0,3,121.73913043478262,,,,,,,
TD Astle,3,5,0,0,60.0,,,,,,,
SHA Rance,8,17,0,0,47.05882352941176,,,,,,,
