batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
J Charles,13,12,1,1,108.33333333333333,SS Cottrell,4.0,27.0,3.0,0.0,3.0,6.75
AD Hales,19,22,2,1,86.36363636363636,FA Allen,1.0,6.0,0.0,0.0,0.0,6.0
Shakib Al Hasan,38,25,3,1,152.0,Mohammad Hafeez,4.0,34.0,0.0,0.0,0.0,8.5
JP Duminy,18,16,2,0,112.5,CR Brathwaite,4.0,30.0,3.0,0.0,0.0,7.5
JL Carter,2,3,0,0,66.66666666666666,DC Drakes,3.0,25.0,1.0,0.0,2.0,8.333333333333334
JO Holder,1,7,0,0,14.285714285714285,RR Emrit,4.0,24.0,2.0,0.0,4.0,6.0
AR Nurse,2,4,0,0,50.0,,,,,,,
RA Reifer,34,18,0,3,188.88888888888889,,,,,,,
HR Walsh,9,9,0,0,100.0,,,,,,,
HF Gurney,1,2,0,0,50.0,,,,,,,
CK Holder,0,2,0,0,0.0,,,,,,,
