batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DC Thomas,1,7,0,0,14.285714285714285,C Hemraj,2.0,10.0,0.0,0.0,0.0,5.0
Mohammad Hafeez,14,15,0,1,93.33333333333333,CJ Green,3.0,28.0,2.0,0.0,1.0,9.333333333333334
LJ Evans,26,21,4,0,123.80952380952381,Imran Tahir,4.0,17.0,2.0,0.0,0.0,4.25
JN Mohammed,4,5,0,0,80.0,R Shepherd,2.0,14.0,0.0,0.0,0.0,7.0
SSJ Brooks,34,25,3,1,136.0,KMA Paul,4.0,24.0,2.0,1.0,1.0,5.75
DC Drakes,2,5,0,0,40.0,Qais Ahmad,4.0,28.0,3.0,0.0,1.0,7.0
FA Allen,16,17,2,0,94.11764705882352,,,,,,,
CR Brathwaite,3,9,0,0,33.33333333333333,,,,,,,
AS Joseph,15,8,1,1,187.5,,,,,,,
RR Emrit,2,2,0,0,100.0,,,,,,,
SS Cottrell,0,1,0,0,0.0,,,,,,,
