batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CH Gayle,1,9,0,0,11.11111111111111,SS Cottrell,4.0,33.0,2.0,0.0,1.0,8.25
GD Phillips,87,49,8,5,177.55102040816325,Mohammad Hafeez,4.0,13.0,1.0,0.0,1.0,3.25
CAK Walton,1,6,0,0,16.666666666666664,FA Allen,2.0,21.0,0.0,0.0,0.0,10.5
DR Smith,4,6,0,0,66.66666666666666,AS Joseph,4.0,37.0,2.0,2.0,0.0,8.75
I Khan (2),20,21,1,1,95.23809523809523,KJ Cottoy,2.0,10.0,1.0,0.0,0.0,5.0
AD Russell,0,1,0,0,0.0,CR Brathwaite,1.0,17.0,1.0,0.0,0.0,17.0
SK Springer,30,20,3,2,150.0,RR Emrit,3.0,21.0,2.0,0.0,1.0,7.0
J Glen,0,2,0,0,0.0,,,,,,,
Ramaal Lewis,4,6,0,0,66.66666666666666,,,,,,,
JW Dernbach,0,1,0,0,0.0,,,,,,,
