batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
ADS Fletcher,1,2,0,0,50.0,Akeem Jordan,4.0,33.0,4.0,0.0,1.0,8.25
RRS Cornwall,5,5,1,0,100.0,SS Cottrell,4.0,27.0,1.0,0.0,3.0,6.75
RO Cato,10,12,2,0,83.33333333333334,Usama Mir,4.0,13.0,2.0,0.0,0.0,3.25
KAR Hodge,13,10,2,0,130.0,RR Emrit,4.0,29.0,2.0,0.0,0.0,7.25
C de Grandhomme,30,22,4,1,136.36363636363635,CR Brathwaite,3.0,22.0,0.0,0.0,3.0,7.333333333333333
NLTC Perera,5,10,0,0,50.0,FA Allen,1.0,8.0,0.0,0.0,0.0,8.0
DJG Sammy,18,20,0,2,90.0,,,,,,,
GC Viljoen,28,23,4,0,121.73913043478262,,,,,,,
KOK Williams,0,1,0,0,0.0,,,,,,,
OC McCoy,14,14,2,0,100.0,,,,,,,
Fawad Ahmed,1,1,0,0,100.0,,,,,,,
