batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DC Thomas,9,13,1,0,69.23076923076923,CD Barnwell,1.0,7.0,0.0,0.0,2.0,7.0
E Lewis,10,14,2,0,71.42857142857143,RRS Cornwall,1.0,6.0,0.0,0.0,1.0,6.0
LJ Evans,28,24,0,2,116.66666666666667,KOK Williams,4.0,48.0,3.0,0.0,4.0,12.0
Mohammad Hafeez,29,31,0,1,93.54838709677419,GC Viljoen,4.0,14.0,3.0,0.0,2.0,3.5
FA Allen,1,2,0,0,50.0,J Royal,4.0,30.0,1.0,0.0,1.0,7.5
CR Brathwaite,2,3,0,0,66.66666666666666,Fawad Ahmed,4.0,19.0,2.0,0.0,0.0,4.75
SSJ Brooks,7,4,1,0,175.0,C de Grandhomme,2.0,13.0,0.0,0.0,0.0,6.5
RR Emrit,18,10,0,2,180.0,,,,,,,
KJ Cottoy,19,14,0,2,135.71428571428572,,,,,,,
AS Joseph,4,5,0,0,80.0,,,,,,,
