batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DA Warner,51,47,3,1,108.51063829787233,I Sharma,3.0,19.0,0.0,0.0,1.0,6.333333333333333
JM Bairstow,41,31,5,1,132.25806451612902,K Rabada,4.0,22.0,4.0,0.0,2.0,5.5
KS Williamson,3,8,0,0,37.5,CH Morris,3.0,22.0,3.0,0.0,0.0,7.333333333333333
RK Bhui,7,12,0,0,58.333333333333336,AR Patel,2.0,23.0,0.0,0.0,0.0,11.5
V Shankar,1,2,0,0,50.0,KMA Paul,4.0,17.0,3.0,1.0,1.0,4.0
Abhishek Sharma,2,3,0,0,66.66666666666666,A Mishra,3.0,13.0,0.0,0.0,0.0,4.333333333333333
DJ Hooda,3,4,0,0,75.0,,,,,,,
Rashid Khan,0,1,0,0,0.0,,,,,,,
B Kumar,2,4,0,0,50.0,,,,,,,
Sandeep Sharma,1,1,0,0,100.0,,,,,,,
KK Ahmed,0,1,0,0,0.0,,,,,,,
