batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
KL Rahul,79,56,4,5,141.07142857142858,KK Ahmed,4.0,39.0,3.0,0.0,3.0,9.75
CH Gayle,4,3,1,0,133.33333333333331,B Kumar,4.0,34.0,0.0,0.0,1.0,8.5
MA Agarwal,27,18,2,1,150.0,Sandeep Sharma,4.0,33.0,2.0,0.0,2.0,8.25
N Pooran,21,10,2,2,210.0,Rashid Khan,4.0,22.0,3.0,1.0,0.0,5.25
DA Miller,11,11,1,0,100.0,Abhishek Sharma,1.0,10.0,0.0,0.0,0.0,10.0
R Ashwin,0,1,0,0,0.0,Mohammad Nabi,3.0,28.0,0.0,0.0,0.0,9.333333333333334
P Simran Singh,16,17,1,1,94.11764705882352,,,,,,,
Mujeeb Ur Rahman,0,3,0,0,0.0,,,,,,,
Mohammed Shami,1,1,0,0,100.0,,,,,,,
M Ashwin,1,1,0,0,100.0,,,,,,,
