batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DA Warner,15,13,2,0,115.38461538461537,JP Behrendorff,4.0,28.0,1.0,0.0,0.0,7.0
JM Bairstow,16,10,3,0,160.0,JJ Bumrah,3.0,16.0,1.0,0.0,0.0,5.333333333333333
V Shankar,5,10,1,0,50.0,RD Chahar,4.0,21.0,2.0,0.0,1.0,5.25
MK Pandey,16,21,0,0,76.19047619047619,AS Joseph,4.0,12.0,6.0,0.0,2.0,3.0
DJ Hooda,20,24,1,0,83.33333333333334,KH Pandya,2.0,9.0,0.0,0.0,0.0,4.5
YK Pathan,0,4,0,0,0.0,HH Pandya,1.0,7.0,0.0,0.0,0.0,7.0
Mohammad Nabi,11,14,0,1,78.57142857142857,,,,,,,
Rashid Khan,0,1,0,0,0.0,,,,,,,
B Kumar,2,6,0,0,33.33333333333333,,,,,,,
Sandeep Sharma,5,2,1,0,250.0,,,,,,,
S Kaul,0,1,0,0,0.0,,,,,,,
