batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PA Patel,11,8,2,0,137.5,B Kumar,3.0,25.0,0.0,0.0,0.0,8.333333333333334
SO Hetmyer,9,9,0,1,100.0,Mohammad Nabi,4.0,11.0,4.0,0.0,0.0,2.75
V Kohli,3,10,0,0,30.0,Sandeep Sharma,4.0,19.0,3.0,0.0,0.0,4.75
AB de Villiers,1,2,0,0,50.0,S Kaul,3.0,16.0,0.0,0.0,1.0,5.333333333333333
MM Ali,2,8,0,0,25.0,Rashid Khan,4.0,25.0,0.0,0.0,0.0,6.25
S Dube,5,7,1,0,71.42857142857143,V Shankar,2.0,13.0,0.0,1.0,2.0,6.0
C de Grandhomme,37,32,3,2,115.625,,,,,,,
P Ray Barman,19,24,2,0,79.16666666666666,,,,,,,
UT Yadav,14,9,1,1,155.55555555555557,,,,,,,
Mohammed Siraj,3,8,0,0,37.5,,,,,,,
YS Chahal,1,3,0,0,33.33333333333333,,,,,,,
