batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AJ Finch,28,20,2,1,140.0,AO Morgan,4.0,23.0,0.0,0.0,1.0,5.75
MD Stoneman,5,7,1,0,71.42857142857143,M de Lange,2.0,26.0,4.0,0.0,0.0,13.0
WG Jacks,40,26,4,2,153.84615384615387,DA Douthwaite,2.0,16.0,0.0,0.0,0.0,8.0
OJ Pope,12,14,0,0,85.71428571428571,MG Hogan,4.0,22.0,0.0,2.0,0.0,5.0
R Clarke,1,3,0,0,33.33333333333333,GG Wagg,4.0,28.0,2.0,0.0,2.0,7.0
TK Curran,1,3,0,0,33.33333333333333,AG Salter,4.0,23.0,4.0,0.0,0.0,5.75
J Clark,26,27,0,0,96.29629629629629,,,,,,,
LE Plunkett,18,15,0,1,120.0,,,,,,,
JW Dernbach,2,3,0,0,66.66666666666666,,,,,,,
GJ Batty,0,1,0,0,0.0,,,,,,,
Imran Tahir,0,2,0,0,0.0,,,,,,,
