batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Fakhar Zaman,17,27,2,0,62.96296296296296,JW Dernbach,2.0,8.0,1.0,0.0,0.0,4.0
DL Lloyd,4,3,1,0,133.33333333333331,TK Curran,2.0,3.0,3.0,0.0,0.0,1.5
CA Ingram,0,1,0,0,0.0,Imran Tahir,3.0,8.0,3.0,0.0,0.0,2.6666666666666665
WT Root,0,1,0,0,0.0,J Clark,1.0,12.0,0.0,0.0,0.0,12.0
AO Morgan,2,3,0,0,66.66666666666666,LE Plunkett,2.0,5.0,0.0,0.0,0.0,2.5
CB Cooke,13,20,0,0,65.0,GJ Batty,3.0,7.0,3.0,0.0,0.0,2.3333333333333335
DA Douthwaite,6,12,0,0,50.0,,,,,,,
GG Wagg,0,3,0,0,0.0,,,,,,,
AG Salter,0,3,0,0,0.0,,,,,,,
M de Lange,0,1,0,0,0.0,,,,,,,
MG Hogan,1,3,0,0,33.33333333333333,,,,,,,
