batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
WG Jacks,1,4,0,0,25.0,Mujeeb Ur Rahman,4.0,26.0,1.0,0.0,1.0,6.5
AJ Finch,9,8,1,0,112.5,TG Helm,4.0,26.0,2.0,0.0,1.0,6.5
MD Stoneman,29,24,4,0,120.83333333333333,ST Finn,4.0,45.0,0.0,0.0,1.0,11.25
OJ Pope,47,31,4,2,151.61290322580646,TS Roland-Jones,4.0,35.0,4.0,0.0,0.0,8.75
R Clarke,9,4,2,0,225.0,NA Sowter,4.0,34.0,2.0,0.0,0.0,8.5
TK Curran,31,17,3,1,182.35294117647058,,,,,,,
J Clark,21,11,1,1,190.9090909090909,,,,,,,
LE Plunkett,5,4,1,0,125.0,,,,,,,
JW Dernbach,1,4,0,0,25.0,,,,,,,
GJ Batty,6,7,0,0,85.71428571428571,,,,,,,
Imran Tahir,5,6,0,0,83.33333333333334,,,,,,,
