batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
T Banton,47,28,5,2,167.85714285714286,Imran Tahir,4.0,25.0,4.0,0.0,0.0,6.25
Babar Azam,37,31,3,0,119.35483870967742,JW Dernbach,4.0,38.0,1.0,4.0,1.0,8.5
JC Hildreth,1,2,0,0,50.0,SM Curran,4.0,33.0,1.0,2.0,0.0,7.75
EJ Byrom,3,4,0,0,75.0,J Clark,3.0,29.0,1.0,0.0,0.0,9.666666666666666
TB Abell,14,10,1,0,140.0,GJ Batty,4.0,24.0,2.0,0.0,0.0,6.0
TA Lammonby,19,20,1,0,95.0,AJ Finch,1.0,8.0,0.0,0.0,0.0,8.0
RE van der Merwe,2,3,0,0,66.66666666666666,,,,,,,
C Overton,4,6,0,0,66.66666666666666,,,,,,,
TD Groenewald,9,6,2,0,150.0,,,,,,,
JE Taylor,9,7,1,0,128.57142857142858,,,,,,,
MTC Waller,5,6,0,0,83.33333333333334,,,,,,,
