batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PD Salt,15,11,2,0,136.36363636363635,Imran Tahir,4.0,24.0,3.0,0.0,1.0,6.0
LJ Wright,25,21,3,0,119.04761904761905,SM Curran,2.0,23.0,0.0,0.0,0.0,11.5
LJ Evans,34,35,3,0,97.14285714285714,JW Dernbach,3.0,23.0,1.0,0.0,2.0,7.666666666666667
AT Carey,19,21,1,0,90.47619047619048,TK Curran,4.0,20.0,3.0,0.0,3.0,5.0
D Wiese,31,21,1,2,147.61904761904762,GJ Batty,4.0,24.0,0.0,0.0,0.0,6.0
DMW Rawlins,0,1,0,0,0.0,J Clark,3.0,19.0,1.0,0.0,0.0,6.333333333333333
Rashid Khan,0,1,0,0,0.0,,,,,,,
CJ Jordan,1,2,0,0,50.0,,,,,,,
WAT Beer,1,4,0,0,25.0,,,,,,,
DR Briggs,1,3,0,0,33.33333333333333,,,,,,,
