batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PD Salt,6,4,1,0,150.0,Mohammad Amir,4.0,29.0,4.0,0.0,1.0,7.25
LJ Wright,5,6,1,0,83.33333333333334,AP Beard,4.0,32.0,1.0,0.0,2.0,8.0
LJ Evans,35,30,5,0,116.66666666666667,PI Walter,3.0,31.0,1.0,0.0,0.0,10.333333333333334
AT Carey,3,4,0,0,75.0,A Zampa,4.0,22.0,1.0,0.0,0.0,5.5
D Wiese,66,37,9,2,178.3783783783784,CS Delport,2.0,17.0,0.0,0.0,0.0,8.5
HZ Finch,0,1,0,0,0.0,SR Harmer,3.0,19.0,2.0,0.0,0.0,6.333333333333333
CJ Jordan,19,19,3,0,100.0,,,,,,,
WAT Beer,3,5,0,0,60.0,,,,,,,
DR Briggs,7,8,1,0,87.5,,,,,,,
JP Behrendorff,1,2,0,0,50.0,,,,,,,
RJW Topley,2,4,0,0,50.0,,,,,,,
