batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DL Lloyd,50,37,9,0,135.13513513513513,RJW Topley,4.0,20.0,3.0,0.0,0.0,5.0
Fakhar Zaman,9,14,0,1,64.28571428571429,OE Robinson,4.0,27.0,2.0,0.0,0.0,6.75
JL Lawlor,6,7,1,0,85.71428571428571,Rashid Khan,4.0,29.0,1.0,0.0,0.0,7.25
CA Ingram,19,15,2,0,126.66666666666666,TS Mills,4.0,32.0,1.0,0.0,1.0,8.0
KS Carlson,18,14,1,1,128.57142857142858,DR Briggs,4.0,35.0,2.0,0.0,0.0,8.75
GG Wagg,3,8,0,0,37.5,,,,,,,
CB Cooke,13,7,1,1,185.71428571428572,,,,,,,
M de Lange,12,6,1,1,200.0,,,,,,,
AG Salter,8,6,1,0,133.33333333333331,,,,,,,
LJ Carey,2,4,0,0,50.0,,,,,,,
MG Hogan,2,2,0,0,100.0,,,,,,,
