batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AHT Donald,13,11,1,1,118.18181818181819,RJW Topley,4.0,33.0,4.0,0.0,0.0,8.25
RR Rossouw,60,38,8,1,157.89473684210526,OE Robinson,2.0,15.0,0.0,0.0,0.0,7.5
JM Vince,0,2,0,0,0.0,TS Mills,3.0,22.0,0.0,2.0,0.0,6.666666666666667
SA Northeast,0,1,0,0,0.0,Rashid Khan,4.0,41.0,2.0,0.0,0.0,10.25
LA Dawson,25,20,4,0,125.0,D Wiese,2.0,24.0,1.0,0.0,0.0,12.0
CH Morris,8,6,1,0,133.33333333333331,DR Briggs,4.0,35.0,3.0,0.0,0.0,8.75
JK Fuller,1,2,0,0,50.0,,,,,,,
LD McManus,32,15,1,3,213.33333333333334,,,,,,,
CP Wood,9,5,2,0,180.0,,,,,,,
KJ Abbott,15,9,0,1,166.66666666666669,,,,,,,
MS Crane,5,6,0,0,83.33333333333334,,,,,,,
