batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJ Bell-Drummond,50,36,3,2,138.88888888888889,DR Briggs,3.0,21.0,0.0,0.0,0.0,7.0
Z Crawley,18,9,1,2,200.0,JC Archer,4.0,28.0,1.0,0.0,0.0,7.0
OG Robinson,6,8,0,0,75.0,CJ Jordan,4.0,40.0,2.0,0.0,0.0,10.0
HG Kuhn,5,9,1,0,55.55555555555556,TS Mills,4.0,23.0,3.0,0.0,1.0,5.75
Mohammad Nabi,43,29,4,2,148.27586206896552,Rashid Khan,4.0,34.0,1.0,0.0,0.0,8.5
AJ Blake,7,8,1,0,87.5,D Wiese,1.0,8.0,1.0,0.0,0.0,8.0
JM Cox,23,17,3,0,135.29411764705884,,,,,,,
AF Milne,0,2,0,0,0.0,,,,,,,
GC Viljoen,0,1,0,0,0.0,,,,,,,
Imran Qayyum,1,1,0,0,100.0,,,,,,,
