batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PD Salt,27,10,1,3,270.0,WG Jacks,1.0,14.0,0.0,0.0,0.0,14.0
LJ Wright,76,59,9,1,128.81355932203388,TK Curran,4.0,32.0,2.0,0.0,0.0,8.0
LJ Evans,9,10,1,0,90.0,JW Dernbach,3.0,24.0,1.0,0.0,1.0,8.0
DMW Rawlins,5,8,0,0,62.5,J Clark,3.0,22.0,1.0,0.0,1.0,7.333333333333333
D Wiese,3,7,0,0,42.857142857142854,Imran Tahir,4.0,21.0,1.0,0.0,0.0,5.25
BC Brown,10,11,0,0,90.9090909090909,GJ Batty,4.0,20.0,3.0,0.0,0.0,5.0
Rashid Khan,1,4,0,0,25.0,RS Patel,1.0,8.0,0.0,0.0,1.0,8.0
JC Archer,1,3,0,0,33.33333333333333,,,,,,,
DR Briggs,3,4,0,0,75.0,,,,,,,
RJW Topley,3,4,0,0,75.0,,,,,,,
