batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
M Bryant,0,4,0,0,0.0,SNJ O'Keefe,4.0,17.0,1.0,0.0,0.0,4.25
BB McCullum,27,31,1,1,87.09677419354838,BJ Dwarshuis,3.0,28.0,0.0,0.0,2.0,9.333333333333334
CA Lynn,2,7,0,0,28.57142857142857,SA Abbott,3.0,18.0,3.0,0.0,0.0,6.0
JJ Peirson,12,14,1,0,85.71428571428571,TK Curran,4.0,16.0,3.0,0.0,1.0,4.0
BCJ Cutting,28,26,3,1,107.6923076923077,L Pope,4.0,19.0,2.0,0.0,0.0,4.75
AI Ross,4,6,0,0,66.66666666666666,,,,,,,
JA Prestwidge,1,1,0,0,100.0,,,,,,,
JK Lalor,13,9,1,1,144.44444444444443,,,,,,,
B Doggett,6,7,0,0,85.71428571428571,,,,,,,
MJ Swepson,2,4,0,0,50.0,,,,,,,
