batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
J Edwards,11,17,0,0,64.70588235294117,TLW Cooper,1.0,1.0,0.0,0.0,0.0,1.0
DP Hughes,0,7,0,0,0.0,KW Richardson,4.0,26.0,3.0,0.0,1.0,6.5
JM Vince,6,6,1,0,100.0,HF Gurney,4.0,24.0,1.0,1.0,1.0,5.75
MC Henriques,3,7,0,0,42.857142857142854,JD Wildermuth,2.0,7.0,0.0,0.0,0.0,3.5
JC Silk,12,20,0,0,60.0,DT Christian,2.0,12.0,1.0,0.0,1.0,6.0
JR Philippe,20,20,1,1,100.0,CJ Boyce,3.0,15.0,0.0,0.0,0.0,5.0
TK Curran,44,30,2,3,146.66666666666666,Mohammad Nabi,4.0,25.0,4.0,0.0,0.0,6.25
SA Abbott,7,10,0,0,70.0,,,,,,,
BJ Dwarshuis,1,2,0,0,50.0,,,,,,,
BAD Manenti,2,2,0,0,100.0,,,,,,,
