batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JP Inglis,22,16,3,1,137.5,BJ Dwarshuis,4.0,14.0,2.0,0.0,1.0,3.5
LS Livingstone,0,2,0,0,0.0,SNJ O'Keefe,4.0,29.0,1.0,0.0,1.0,7.25
CT Bancroft,1,2,0,0,50.0,TK Curran,4.0,32.0,3.0,1.0,0.0,7.75
MR Marsh,32,33,2,0,96.96969696969697,SA Abbott,4.0,28.0,1.0,0.0,1.0,7.0
AJ Turner,1,4,0,0,25.0,H Kerr,1.0,6.0,0.0,0.0,0.0,6.0
C Green,36,32,3,0,112.5,BAD Manenti,3.0,21.0,2.0,0.0,0.0,7.0
AC Agar,4,7,0,0,57.14285714285714,,,,,,,
CJ Jordan,7,7,0,0,100.0,,,,,,,
JA Richardson,2,4,0,0,50.0,,,,,,,
M Kelly,3,5,0,0,60.0,,,,,,,
Fawad Ahmed,19,9,1,2,211.11111111111111,,,,,,,
