batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JDS Neesham,1,2,0,0,50.0,Shakib Al Hasan,4.0,25.0,2.0,0.0,1.0,6.25
LMP Simmons,60,45,3,4,133.33333333333331,JO Holder,3.0,21.0,0.0,0.0,1.0,7.0
C Munro,23,26,0,2,88.46153846153845,HF Gurney,4.0,14.0,2.0,0.0,0.0,3.5
DM Bravo,6,7,1,0,85.71428571428571,JP Duminy,1.0,15.0,0.0,0.0,0.0,15.0
KA Pollard,20,16,2,1,125.0,HR Walsh,4.0,34.0,2.0,0.0,0.0,8.5
D Ramdin,18,17,0,1,105.88235294117648,RA Reifer,4.0,24.0,1.0,0.0,0.0,6.0
JPR Scantlebury-Searles,0,1,0,0,0.0,,,,,,,
M Deyal,1,3,0,0,33.33333333333333,,,,,,,
CJ Jordan,2,2,0,0,100.0,,,,,,,
K Pierre,0,1,0,0,0.0,,,,,,,
