batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
KY Ottley,25,30,3,0,83.33333333333334,K Pierre,4.0,20.0,2.0,0.0,2.0,5.0
E Lewis,36,27,2,3,133.33333333333331,Mohammad Hasnain,4.0,36.0,3.0,0.0,0.0,9.0
Mohammad Hafeez,16,22,0,0,72.72727272727273,SP Narine,4.0,21.0,0.0,0.0,1.0,5.25
JN Mohammed,0,4,0,0,0.0,JDS Neesham,3.0,18.0,3.0,0.0,0.0,6.0
DC Thomas,1,3,0,0,33.33333333333333,KA Pollard,2.0,15.0,0.0,0.0,0.0,7.5
CR Brathwaite,2,3,0,0,66.66666666666666,S Prasanna,3.0,30.0,1.0,0.0,1.0,10.0
FA Allen,30,14,0,4,214.28571428571428,,,,,,,
Usama Mir,24,10,2,2,240.0,,,,,,,
RR Emrit,1,2,0,0,50.0,,,,,,,
AS Joseph,1,1,0,0,100.0,,,,,,,
SS Cottrell,0,2,0,0,0.0,,,,,,,
