batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Z Arinaitwe,6,9,1,0,66.66666666666666,SO Ngoche,4.0,21.0,1.0,0.0,0.0,5.25
HB Kayondo,31,23,1,2,134.7826086956522,E Otieno,4.0,37.0,3.0,0.0,3.0,9.25
RG Mukasa,4,6,0,0,66.66666666666666,LN Oluoch,3.0,26.0,0.0,0.0,1.0,8.666666666666666
A Otwani,10,11,2,0,90.9090909090909,NM Odhiambo,4.0,30.0,3.0,0.0,1.0,7.5
DM Nakrani,19,14,1,1,135.71428571428572,SR Bhudia,3.0,22.0,0.0,0.0,1.0,7.333333333333333
Riazat Ali Shah,44,35,3,2,125.71428571428571,CO Obuya,2.0,7.0,1.0,0.0,2.0,3.5
D Muhumuza,3,5,0,0,60.0,,,,,,,
R Olipa,3,4,0,0,75.0,,,,,,,
F Nsubuga,9,11,0,1,81.81818181818183,,,,,,,
C Waiswa,6,2,0,1,300.0,,,,,,,
