batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Z Arinaitwe,15,11,2,1,136.36363636363635,Z Groenewald,3.0,19.0,0.0,0.0,1.0,6.333333333333333
HB Kayondo,15,15,0,1,100.0,JN Frylinck,3.0,27.0,1.0,0.0,3.0,9.0
RG Mukasa,14,18,0,0,77.77777777777779,C Viljoen,4.0,15.0,4.0,0.0,1.0,3.75
A Otwani,11,20,1,0,55.00000000000001,T Lungameni,3.0,14.0,0.0,0.0,0.0,4.666666666666667
DM Nakrani,13,14,0,1,92.85714285714286,BM Scholtz,3.0,28.0,2.0,0.0,0.0,9.333333333333334
Riazat Ali Shah,19,16,0,2,118.75,MG Erasmus,4.0,17.0,1.0,0.0,0.0,4.25
D Muhumuza,0,1,0,0,0.0,,,,,,,
F Nsubuga,7,4,0,1,175.0,,,,,,,
E Isaneez,7,9,0,0,77.77777777777779,,,,,,,
C Waiswa,14,12,1,0,116.66666666666667,,,,,,,
