batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,72,58,9,0,124.13793103448276,Sultan Ahmed (2),4.0,31.0,0.0,0.0,0.0,7.75
KJ O'Brien,14,12,2,0,116.66666666666667,Ahmed Raza,4.0,17.0,1.0,0.0,0.0,4.25
A Balbirnie,11,13,0,0,84.61538461538461,Junaid Siddique (2),4.0,25.0,1.0,0.0,0.0,6.25
HT Tector,2,6,0,0,33.33333333333333,Rohan Mustafa,4.0,18.0,4.0,0.0,0.0,4.5
GC Wilson,4,7,0,0,57.14285714285714,Waheed Ahmed,1.0,8.0,0.0,0.0,0.0,8.0
MR Adair,13,17,1,0,76.47058823529412,Zahoor Khan,3.0,25.0,1.0,0.0,3.0,8.333333333333334
GJ Delany,2,2,0,0,100.0,,,,,,,
GH Dockrell,1,1,0,0,100.0,,,,,,,
SC Getkate,1,2,0,0,50.0,,,,,,,
DC Delany,0,1,0,0,0.0,,,,,,,
WB Rankin,1,1,0,0,100.0,,,,,,,
