batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Rohan Mustafa,28,30,3,1,93.33333333333333,H Carlyon,4.0,15.0,3.0,0.0,0.0,3.75
Chirag Suri,27,26,2,1,103.84615384615385,DG Blampied,4.0,26.0,1.0,0.0,4.0,6.5
Rameez Shahzad,7,14,0,0,50.0,CW Perchard,4.0,22.0,2.0,0.0,0.0,5.5
Muhammad Usman,7,8,0,0,87.5,AW Hawkins-Kay,1.0,15.0,0.0,0.0,2.0,15.0
Waheed Ahmed,1,7,0,0,14.285714285714285,BDH Stevens,3.0,20.0,3.0,0.0,1.0,6.666666666666667
Mohammad Boota,6,3,0,1,200.0,B Ward,4.0,14.0,1.0,0.0,0.0,3.5
DDP D'Silva,14,12,1,0,116.66666666666667,,,,,,,
Sultan Ahmed (2),1,4,0,0,25.0,,,,,,,
Junaid Siddique (2),0,1,0,0,0.0,,,,,,,
Ahmed Raza,13,8,0,1,162.5,,,,,,,
Zahoor Khan,1,3,0,0,33.33333333333333,,,,,,,
